uid,has_photo,sex,has_mobile,followers_count,contacts,relatives,relation,personal,activities,music,movies,tv,books,about,quotes,albums,audios,followers,friends,pages,photos,subscriptions,videos,clips_followers,age,city,country
650681826,1,1,1,33,0,1,1,1,1,1,1,1,1,1,1,1,20,33,3496,12,21,58,13,3529,,1,1
639606243,1,2,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,,475,3111,,95,0,,35,,
649174500,1,2,1,0,0,1,1,1,1,1,1,1,1,1,1,0,1,0,0,8,1,0,0,0,28,,
640228839,0,1,,,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,
647044584,0,2,1,0,0,1,1,1,1,1,1,1,1,1,1,0,0,0,6,1,0,0,0,6,13,,1
647503339,0,1,,,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,
652287468,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,32,,
649993709,0,2,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,,15,4,,0,0,,48,,
648486383,0,2,1,0,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,0,0,0,0,40,,
643079663,0,1,1,0,0,1,1,1,1,1,1,1,1,1,1,0,0,0,1,6,0,0,0,1,54,,
650550776,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,0,2,0,1,4,1,0,0,1,42,,
650157561,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,0,8,0,0,27,1,0,7,0,,,
648977912,1,1,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,,2,26,,0,0,,71,,
651402752,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,6,2,0,0,0,24,,
644390400,1,2,1,4,0,1,1,1,1,1,1,1,1,1,1,0,0,4,15,3,2,0,0,19,51,266,1
644259329,1,2,1,6,0,1,1,1,1,1,1,1,1,1,1,0,0,6,26,23,3,19,0,32,,2,1
642031107,0,1,,,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,
651763204,0,1,,,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,
650616326,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,0,7,0,0,6,1,0,8,0,,,
644423175,1,1,1,2,0,1,1,1,1,1,1,1,1,1,1,0,0,2,4,64,1,0,0,6,,119,1
649272843,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,4,9,0,0,35,99,0,9,0,31,1,1
647896590,1,1,1,3,0,1,1,1,1,1,1,1,1,1,1,0,0,3,11,41,2,0,3,14,49,,
646651406,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,0,1,9,8,0,0,1,10,60,1007189,1
652090899,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,0,1,0,0,5,1,0,0,0,29,,
646946324,0,2,1,0,0,1,1,1,1,1,1,1,1,1,1,0,0,0,49,8,0,0,0,49,43,,
641441303,1,2,1,2,0,1,1,1,1,1,1,1,1,1,1,0,4,2,29,7,1,51,4,31,31,109,1
639507991,1,1,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,6,,0,0,,21,,
645996063,0,2,,,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,
640392742,0,2,1,0,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,0,0,0,0,,,
649797163,1,2,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,247,,0,0,,21,4747294,98
652418608,1,2,1,0,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,6,1,1,0,0,24,,
652418609,1,1,1,7,0,1,1,1,1,1,1,1,1,1,1,2,14,7,67,15,11,0,4,74,,1,1
649797173,1,2,1,5,0,1,1,1,1,1,1,1,1,1,1,0,0,5,5,9,29,0,0,10,25,,
646028866,1,1,1,2,0,1,1,1,1,1,1,1,1,1,1,0,0,2,54,5,5,5,0,56,20,,
639639114,1,2,1,0,0,1,1,1,1,1,1,1,1,1,1,0,0,0,1,47,1,0,1,1,41,2,1
651402828,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,7,1,8,11,2,1,0,9,14,,
647044685,1,2,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,5,,0,0,,56,2,1
643112524,1,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,175,88,2,26,2,177,,1914764,229
641572431,1,1,1,5,0,1,1,1,1,1,1,1,1,1,1,0,0,5,114,23,10,0,0,119,28,2,1
641048148,0,2,1,0,0,1,1,1,1,1,1,1,1,1,1,0,0,0,1,7,0,0,1,1,64,,
652090967,0,1,,,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,
650976860,1,1,1,36,0,1,1,1,1,1,1,1,1,1,1,1,0,36,178,9,11,0,7,214,,1,1
642981474,1,1,1,661,0,1,1,1,1,1,1,1,1,1,1,0,4,661,145,26,25,0,0,806,39,,
644193894,0,0,,,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,
640786025,1,1,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,,6,7,,0,0,,48,153,1
652254828,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,0,1,3,6,1,0,0,4,24,119,1
644324973,1,2,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,9,,0,0,,,,
645897843,0,1,,,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,
642653813,1,2,1,2,0,1,1,1,1,1,1,1,1,1,1,0,0,2,31,43,11,0,0,33,26,,
649436797,1,1,1,2,0,1,1,1,1,1,1,1,1,1,1,1,16,2,63,5,7,0,5,65,,1,1
642981502,1,1,1,656,0,1,1,1,1,1,1,1,1,1,1,0,2,656,149,23,30,0,0,805,,,
652353151,1,1,1,4,0,1,1,1,1,1,1,1,1,1,1,1,23,4,157,14,23,0,15,161,,1,1
652254850,1,1,1,6,0,1,1,1,1,1,1,1,1,1,1,1,18,6,169,15,14,0,24,175,,1,1
651435654,0,1,,,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,
649207432,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,13,22,1,1,0,13,,,1
651042441,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,0,0,0,5,13,4,5,0,5,17,,
651435658,0,1,,,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,
649436810,1,2,1,2,0,1,1,1,1,1,1,1,1,1,1,0,0,2,7,4,39,0,0,9,62,,
648683149,1,2,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,16,,0,0,,34,,
643931789,0,1,,,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,
650813071,0,1,,,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,
642981524,1,1,1,667,0,1,1,1,1,1,1,1,1,1,1,0,6,667,138,26,28,0,0,805,32,,
645602967,0,1,,,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,
642981531,1,1,1,658,0,1,1,1,1,1,1,1,1,1,1,0,0,658,147,26,36,0,0,805,,,
649338526,1,2,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,,56,259,,0,0,,33,,
641310368,0,1,,,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,
642981545,1,1,1,669,0,1,1,1,1,1,1,1,1,1,1,0,2,669,137,27,34,0,0,806,,,
642064041,0,1,,,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,
642326187,0,2,,,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,
650845872,1,2,1,0,0,1,1,1,1,1,1,1,1,1,1,0,199,0,0,26,1,0,0,0,,1,1
644030128,1,2,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,,47,16,,0,0,,,,1
649928375,1,1,1,5,0,1,1,1,1,1,1,1,1,1,1,1,11,5,61,7,19,0,6,66,,1,1
652254905,1,1,1,3,0,1,1,1,1,1,1,1,1,1,1,1,10,3,144,11,16,0,24,147,,1,1
642129596,0,1,,,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,
651402944,1,1,1,2,0,1,1,1,1,1,1,1,1,1,1,3,18,2,0,31,96,0,17,2,31,1,1
649928388,1,1,1,5,0,1,1,1,1,1,1,1,1,1,1,1,9,5,57,7,5,0,7,62,,1,1
651534024,1,1,1,2,0,1,1,1,1,1,1,1,1,1,1,0,0,2,0,1,1,1,0,2,42,87,1
649764553,1,2,1,5,0,1,1,1,1,1,1,1,1,1,1,0,1,5,40,53,4,7,0,45,24,72,1
647634632,0,1,1,0,0,1,1,1,1,1,1,1,1,1,1,0,0,0,17,2,0,0,0,17,59,,
648093387,0,2,1,0,0,1,1,1,1,1,1,1,1,1,1,0,2,0,0,6,0,0,0,0,32,,
651435724,0,1,,,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,
647044813,0,1,,,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,
643014347,1,1,1,2,0,1,1,1,1,1,1,1,1,1,1,0,0,2,5,4,3,37,0,7,32,153,1
641769160,0,2,1,0,0,1,1,1,1,1,1,1,1,1,1,0,2,0,2,2,0,0,2,2,14,,
650354385,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,0,20,0,144,30,20,6,0,144,,,
643014354,1,1,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,,8,41,,0,0,,79,,
642064081,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,0,0,0,1,33,1,32,0,1,17,,
650747613,0,1,,,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,
651435743,0,1,,,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,
641015520,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,12,0,53,117,38,2,0,53,38,627,1
650059490,0,2,1,1,0,1,1,1,1,1,1,1,1,1,1,0,0,1,0,3,0,0,0,1,42,,
649141997,0,1,0,0,0,1,1,1,1,1,1,1,1,1,1,0,8,0,0,20,0,0,0,0,63,,
640556782,0,1,,,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,
650419954,1,2,1,0,0,1,1,1,1,1,1,1,1,1,1,0,3,0,0,19,1,0,0,0,57,916,2
643243770,1,2,1,11,0,0,0,0,0,0,0,0,0,0,0,0,0,11,31,216,1,0,1,42,16,,1
651796219,0,1,,,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,
644816637,0,1,1,0,0,1,1,1,1,1,1,1,1,1,1,0,4,0,0,24,0,0,1,0,29,,
651501315,0,2,1,0,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,5,0,0,0,0,59,,
640524037,1,2,1,13,0,0,0,0,0,0,0,0,0,0,0,0,57,13,35,39,1,6,22,48,,2,1
651501324,1,2,1,1,0,1,1,1,1,1,1,1,1,1,1,0,0,1,19,20,1,1,0,20,42,521,1
649764621,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,0,31,0,3,13,1,0,17,3,,,
651403023,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,25,0,0,1,2,49,125,1
652058391,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,0,1,10,9,1,0,0,11,63,,
649862935,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,0,1,0,11,1,0,0,1,30,2204640,161
649371419,1,1,1,5,0,1,1,1,1,1,1,1,1,1,1,1,9,5,72,7,20,6,6,77,,1,1
643702556,0,1,,,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,
644030237,0,1,,,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,
648716062,0,2,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,,32,8,,0,0,,34,,
650944292,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0,0,1,7,1,0,0,1,16,153,1
651566888,0,1,,,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,
644194089,1,2,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,,71,16,,15,0,,21,,1
651403051,1,1,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,,36,30,,1,0,,,,
641965873,1,2,1,8,0,1,1,1,1,1,1,1,1,1,1,0,152,8,63,353,82,16,247,71,37,,
648486707,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,0,1,3,41,1,1,0,4,42,1,1
642916150,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,0,0,0,2,74,2,0,0,2,48,,
651337527,0,1,1,0,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,4,0,0,0,0,34,,
649043769,1,2,1,5,0,1,1,1,1,1,1,1,1,1,1,0,26,5,12,114,11,0,1,17,25,,
646651708,1,2,1,1,0,1,1,1,1,1,1,1,1,1,1,0,18,1,1,34,2,0,1,2,37,,
648585021,1,1,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,,5,8,,1,0,,44,1,1
641408828,0,1,,,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,
650125125,1,2,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,2,,0,0,,,,
651829062,1,2,1,0,0,1,1,1,1,1,1,1,1,1,1,0,0,0,76,15,1,3,0,76,21,1,1
648060747,0,1,,,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,
640130901,1,2,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,,68,109,,1,0,,29,99,1
643145565,1,1,1,4,0,1,1,1,1,1,1,1,1,1,1,0,0,4,33,2,1,0,0,37,40,,
650714978,0,2,1,0,0,1,1,1,1,1,1,1,1,1,1,0,0,0,1,8,0,0,0,1,24,,
648322914,1,2,1,0,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,16,14,7,0,0,30,,
640327526,0,2,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,,6,13,,0,0,,41,,
649600873,0,1,,,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,
642457450,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,3,9,0,0,31,101,0,9,0,31,1,1
649469804,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,0,44,0,6,29,1,0,17,6,,,
650551149,0,1,,,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,
650813296,0,1,1,0,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,2,0,0,0,0,35,,
647143282,1,1,1,8,0,1,1,1,1,1,1,1,1,1,1,1,0,8,24,63,17,0,0,32,33,62,1
650420086,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,0,166,0,4,16,1,0,0,4,49,,
649043830,1,2,1,0,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,1,2,0,46,1,1
640032641,0,2,1,0,0,1,1,1,1,1,1,1,1,1,1,0,0,0,1,30,0,0,0,1,29,,
650551174,1,2,1,0,0,1,1,1,1,1,1,1,1,1,1,0,0,0,10,10,2,2,0,10,50,,
640196490,0,2,1,0,0,1,1,1,1,1,1,1,1,1,1,0,0,0,3,181,0,1,0,3,33,,
652386197,0,1,,,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,
651075485,1,2,1,2,0,1,1,1,1,1,1,1,1,1,1,0,0,2,29,19,1,0,0,31,24,,
650780575,0,1,,,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,
644292511,0,1,,,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,
640622496,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,0,1,0,107,1,0,0,1,14,,
651927461,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,4,10,0,0,0,5,35,,
650157994,0,2,1,0,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,28,0,0,0,0,34,,
647372718,0,1,,,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,
649240500,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,4,1,5,43,1,0,7,6,,,
646291381,1,2,1,56,0,1,1,1,1,1,1,1,1,1,1,0,690,56,1891,248,110,134,39,1947,25,,
651108278,1,2,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,,23,40,,0,0,,24,83,1
640098231,1,2,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,,56,108,,25,0,,18,,
650747836,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,0,5,0,0,4,1,0,7,0,,,
643997630,0,1,,,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,
651829183,0,1,,,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,
649961409,0,1,,,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,
652091336,1,2,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,19,,0,0,,,1,1
651599819,0,1,1,0,0,1,1,1,1,1,1,1,1,1,1,0,0,0,1,2,0,0,0,1,32,,
642981841,1,1,1,668,0,1,1,1,1,1,1,1,1,1,1,0,2,668,137,26,46,0,0,805,,,
642981843,1,1,1,662,0,1,1,1,1,1,1,1,1,1,1,0,2,662,143,28,27,0,0,805,25,,
644095959,1,2,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,16,,0,0,,23,42,1
651042779,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,0,0,0,29,22,1,0,0,29,61,,
647798747,1,1,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,42,,0,0,,,,
649109471,1,1,1,11,0,1,1,1,1,1,1,1,1,1,1,0,0,11,4,25,2,0,0,15,,60,1
